age,overall,2000-2005,2006-2012,2013-2019,2020-2022
1-4 years,6.117947263958179,7.349928294422284,5.807089214526545,5.731269546226905,5.309780887615464
10-14 years,5.809361011820618,7.332761372702592,5.277377652188113,4.9079427262299244,6.014871296402815
15-19 years,45.78166885703005,52.64060028385223,44.24434236138417,39.196687228076385,51.08062971895699
20-24 years,89.09841977836251,93.79970435267082,88.27633967986485,82.88785727587063,97.17912601054226
25-29 years,92.18498293365492,82.9282087245836,84.27321756497648,92.65737038352891,122.7910242475909
30-34 years,91.20568697258764,76.30586427604355,77.27059236648114,92.448455833318,141.5172964538645
35-39 years,96.95933833803583,90.00177561657227,78.92195808115328,94.9680952863356,152.01701567084393
40-44 years,117.82310684799512,125.28323203201155,101.37096130578306,103.91763241064646,170.66288630944666
45-49 years,167.90404161611565,192.1450190198691,155.800232215611,142.77842269257764,208.96111310652975
5-9 years,2.6255006819023716,3.0752292718549565,2.5792563741413534,2.36488844166462,2.4469652758780835
50-54 years,255.65708437499887,274.0594888322412,254.00285838638428,228.03307735561089,292.0454508379334
55-59 years,379.6810260833887,365.71898986334566,379.83314738704814,363.88669960566665,434.3636866740056
60-64 years,535.1968940940649,531.9568956388466,490.8400314749464,534.0340336232978,617.5678286037235
65-69 years,712.7466872949776,774.457315714397,653.9973491467244,673.79506433033,822.3860256263299
70-74 years,969.2340344121994,1175.4540414357616,918.0038418715504,869.123310476846,1018.6818143846368
75-79 years,1404.1391500039913,1747.354653031443,1357.8518460300315,1230.8271578481877,1404.6650439217938
80-84 years,2044.9413275279112,2496.020244262737,2052.532765663166,1782.7902724480473,2047.212836066853
< 1 year,120.00019895452738,145.41804725304144,123.91302625786466,106.29792201082932,89.229680048913
