Year,ageadjrate_male,ageadjrate_female
2000,22.4982353803623,13.1003749835676
2001,22.5105448698135,13.3970126445041
2002,23.3757927688349,14.0793854426038
2003,22.8633625352894,14.183164032719
2004,22.3286872028697,14.0581583314877
2005,22.2723503002571,14.0808883804813
2006,21.8050048158589,14.1629959902406
2007,21.0815648180433,13.9607950374932
2008,20.6958736143218,14.1291285869043
2009,20.5404219721102,14.0674693957453
2010,19.3943983960646,13.3477499846074
2011,18.9448620114153,13.2630181716799
2012,18.5101478905536,12.9799242020684
2013,18.6785324467278,13.1056341397645
2014,18.2165872738817,13.0376047305841
2015,18.2297216808975,12.8576228494247
2016,17.4599822835199,12.5308014810729
2017,16.6000685641156,12.1355676543953
2018,16.0639007347443,11.6822089756413
2019,15.2297867425055,10.9586805399322
2020,15.9928889272349,11.4905554987996
2021,16.158855455834,11.7584424711382
2022,15.9782516429241,11.7245377003448
