Year,Excess YPLL Rate,Excess YPLL Number
2000,0.2460403442439656,162.7043144935051
2001,-1.4565793651079253,-148.469629922435
2002,-0.5563866406607167,-321.8779562193041
2003,1.1584367250388432,654.0654458676058
2004,-0.8683180271363442,-534.1520949658978
2005,-0.6101565366417219,-347.4460738495742
2006,-0.12326271610843298,-88.05256347578249
2007,-0.3086084732236176,-165.94582466986765
2008,-1.0055901228419017,-729.645322704856
2009,-0.18725471007236227,-97.97110067318263
2010,0.53128532577179,394.9072940897568
2011,-0.36959315530645465,-196.39928949639392
2012,0.01738747385267958,14.675324909714972
2013,-0.45530629152006963,-311.60641721236067
2014,0.5970923139982238,251.10493952669867
2015,1.1762428388802604,861.615005575525
2016,-0.09093243598580991,-55.23718922080744
2017,0.3862956225688543,268.3524263925218
2018,-0.6771644794858795,-583.5780866915696
2019,0.05108798453728047,54.13472326904888
2020,0.4287770916877989,233.53559544875995
2021,-0.15218400336559368,-98.41897921200447
2022,-0.04942357212556736,-32.21350243053379
